,-1 未知标签,0 非投诉会话,1 客户感受差,2 投诉/曝光,99 词,4 未解决问题,5 四到类
precision,1.0,0.7674418604651163,0.875,0.9591836734693877,0.9054982817869416,0.7708333333333334,0.9591836734693877
recall,0.66,0.66,0.5490196078431373,0.94,0.9832089552238806,0.7551020408163265,0.94
f_score,0.7951807228915663,0.7096774193548386,0.674698795180723,0.9494949494949495,0.9427549194991055,0.7628865979381444,0.9494949494949495
